"","PTT.BK","KTC.BK","CPALL.BK","MINT.BK","SCB.BK","KBANK.BK","CPN.BK","AOT.BK"
"2005-11-02",0.0177690728637763,0.0099503308531681,-0.00829880281469508,0.0601047093203848,0.0154244703256317,0.00803217169726445,-0.0339015516756813,0.0099503308531681
"2005-11-03",0.00889908531369077,-0.00496278934212913,0.00829880281469508,-0.0253184284970132,0.0151901654939754,0.0237165266173154,-0.0262023723940239,0
"2005-11-04",0.00873372382840465,0,-0.00829880281469508,0,0.00501254182354405,0.00778214044205505,-0.0269074529199245,-0.0099503308531681
"2005-11-07",-0.00873372382840465,0,0.00829880281469508,-0.00858326225907269,-0.0100503358535011,-0.00778214044205505,0.00904983551991778,0.0198026272961798
"2005-11-08",-0.0125787827620458,0.00940833877269343,-0.00829880281469508,0.0170934786543062,0,-0.0078431774610257,0,-0.00985229644301167
"2005-11-09",-0.0051207504777051,0.0151629219578121,0,-0.0170934786543062,0.00503779402995708,-0.00790517950711322,0.035401927050916,0
"2005-11-10",-0.00896862493771611,0.0239819646864853,0,-0.00865757293829761,-0.00503779402995708,-0.00796816964917646,0,-0.0099503308531681
"2005-11-11",0,-0.0239819646864853,0,-0.0175454456260014,0,0.00796816964917646,0.00865806274311454,0
"2005-11-14",0.00896862493771611,0,-0.00836824967051664,0.00881014124840718,-0.00506330195654714,-0.0322608622182212,0,0.0099503308531681
"2005-11-15",0,-0.00975617494536474,0.00836824967051664,0.034486355970198,-0.00508906950747123,0.0162605208717803,0.0255333020051647,0
"2005-11-16",-0.018018505502678,-0.00491401480242915,-0.00836824967051664,0.0251065482499169,-0.00511510066677046,-0.00809721023261911,0.00836824967051664,-0.0250639686632161
"2005-11-17",-0.00913252943483345,-0.00493828164058252,-0.00843886864586474,-0.00829833614813724,-0.0155041865359649,-0.0246926125903721,0.0165293019512105,0.0101010959865038
"2005-11-18",0.00316013925587422,-0.00496278934212913,0.0168071183163814,0.0246912353542934,0.0103627870355463,0.0327898228229913,0,0.00501254182354427
"2005-11-21",-0.00316013925587422,0.0148150857851408,0.00829880281469508,-0.0246912353542934,0,-0.00809721023261911,0,0
"2005-11-22",0.00790450299164736,-0.00491401480242915,-0.00829880281469508,0,0.010256500167189,-0.0081633106391612,0.0242926925690448,0
"2005-11-23",0.00122802644318609,-0.00493828164058252,0,-0.0168082121017796,-0.0154244703256317,-0.00823049913651541,-0.0161293819298836,-0.0202027073175193
"2005-11-24",0.00904988056496192,0,-0.02531780798429,0,-0.00519481687710366,0.00823049913651541,0.0161293819298836,-0.00511510066677046
"2005-11-25",-0.00904988056496192,0.00493828164058252,0,-0.0432964972186052,0,0.0081633106391612,0.00796816964917668,0.0102041701742417
"2005-11-28",-0.00245760835609987,-0.0300022503037988,0.00851068966790858,0.0175454456260014,-0.0263867551731951,-0.0246926125903721,0,0
"2005-11-29",0.00245760835609987,0,-0.00851068966790858,0.0257510515926038,0.00533334597536239,0.00829880281469553,-0.0322608622182214,0.0050633019565467
"2005-11-30",-0.0183491386681967,0,-0.0172418064345061,-0.0170934786543062,0.00530505222969335,0.00823049913651541,-0.0165293019512105,0.00503779402995708
"2005-12-01",-0.0093023926623137,-0.0153455696746604,0.00865806274311454,0.0255339155950391,0,-0.00823049913651541,0,-0.00503779402995708
"2005-12-02",-0.00938969318002858,-0.0103627870355466,-0.0173917427118691,0,0.0105264129869873,0,0.0246926125903717,0.0100503358535013
"2005-12-06",0.0460911050755008,0,0.0173917427118691,0.111225099949152,0.0258412311838874,0.0404913613547366,0.0161293819298836,0
"2005-12-07",0.0354018820058717,0.0155041865359653,0,-0.0305368508053083,0.0400053346136993,0.0389154162496741,0,0
"2005-12-08",-0.00108754768739905,0.0303053494953288,-0.00865806274311454,0,-0.0198026272961798,0.00760459938521851,-0.00803217169726422,0
"2005-12-09",0.00974565353396084,0.0148150857851408,0.00865806274311454,-0.00778170076204199,0.00995033085316832,0,0,0.0099503308531681
"2005-12-13",-0.00865810584656179,0.00975617494536474,0.0170944333593002,0,-0.0200006667066694,0,0.00803217169726422,-0.0099503308531681
"2005-12-14",-0.00873372382840465,-0.0345713440650888,0.0251059211310765,-0.0237171013670681,0.0100503358535011,0.0150378773645405,0.00796816964917668,0.0099503308531681
"2005-12-15",-0.0176995332397509,0.00551241686519532,-0.00829880281469508,-0.0161304364993935,-0.0151136378100483,0,-0.00796816964917668,-0.0099503308531681
"2005-12-16",0.0176995332397509,-0.0105502108951525,-0.0168071183163814,0,0.00506330195654714,-0.00749067172915741,0,-0.00501254182354427
"2005-12-19",-0.00881058582250471,0,-0.00851068966790858,0,0.00503779402995708,0,0.00796816964917668,0.00501254182354427
"2005-12-20",0.0175443096509094,0.00503779402995719,0,0.0161304364993935,0.0149628726767124,-0.00754720563538314,0.0312525435041044,0.0295588022415445
"2005-12-21",-0.00873372382840465,0,-0.00858374369139159,0.00796772406184032,-0.00995033085316832,0.00754720563538314,-0.00772204609391025,-0.00975617494536474
"2005-12-22",-0.00889908531369077,0.0100000833345832,0,0.00790474093670612,-0.00501254182354405,-0.00754720563538314,0,0
"2005-12-23",-0.00880044792606016,0.00496278934212913,0.0170944333593002,-0.00790474093670612,0.00501254182354405,0.00754720563538314,-0.00778214044205483,-0.00985229644301167
"2005-12-26",0,-0.00496278934212913,-0.00851068966790858,-0.0159994429850787,0.00995033085316832,0.00749067172915741,0.00778214044205483,0
"2005-12-27",0.00888894741724622,0.00990107098271165,0,0.0159994429850787,0.0196084713883762,0.0148150857851412,0.0153849188394795,0.00985229644301167
