"","TMBTM","SCBTMFPLUS","KFMTFI","TMBGF","KF-CINCOME","SCBSETFUND","ABG","ABSL","ABSM","JB25","ABWOOF"
"1",0.00202871974991048,0.00209300688094949,0.00269071124229336,-0.014140238397168,0,-0.0215438774921251,-0.000675235213871694,-0.0121358458624625,0.016543733305868,-0.0255576069242678,0.0295883503002488
"2",0.00179546752128035,0.00183391818384004,-0.00167898705910696,-0.0315303170994765,0,-0.0727122222882057,-0.0858859766827811,-0.0801560386628162,-0.0974985597405253,-0.0255379090727965,-0.0250334968961843
"3",0.00204464339324284,0.0020652569579851,0.00180516861969515,0.00964611149601202,0,-0.0187618170431585,-0.0139870638923556,-0.0164243327489233,-0.0188151311205735,-0.0157788631542268,0.0410160275824101
"4",0.00178859209880233,0.00180726765972716,0.000400706435957687,-0.0188500113999064,0,-0.082429138788823,-0.0733941984755377,-0.0776086710906978,-0.0799037941181782,-0.0814846042237023,0.0065214930579196
"5",0.00184826217708034,0.00190142859407194,0.00404259335406199,0.0238183342791762,0,0.0712319546623332,0.0613952490187906,0.0635315463829476,0.0671730706890674,0.0609460272866484,0.0219103360738413
"6",0.00186838172468207,0.00189782002372718,0.00435007690325806,0.0207040700502152,0,0.0431762202924957,0.0271684374183003,0.0324997522607857,0.019183119700418,0.0440442363714477,0.0249886034218338
"7",0.00177878125974917,0.00176805501769284,0.00389895530658713,-0.00506753093181,0,-0.0511562874842353,-0.0510291567975916,-0.0544708906629534,-0.0425656812653332,-0.059475213142369,0.0236384203760216
"8",0.00168965206777871,0.00172617820553889,0.00360637540884357,0.00737193752694631,0,-0.0592005471651258,-0.0311086764246005,-0.0355008035107662,-0.0256506248541033,-0.0459799629213222,0.0228344075754028
"9",0.00199886069066979,0.00206168676356278,0.00450247740767917,-0.0179263814815944,0,-0.0176574519513077,-0.0298190366872495,-0.0262514281930724,-0.0342703197440688,-0.020859645874673,-0.0716224418035041
"10",0.00153547004240107,0.00152658509439085,0.00454018766555686,0.0134808439206333,0,0.042383315410687,0.025092738364175,0.0254786553391644,0.0380834981758889,0.0346778112590571,0.0634784478960495
"11",0.00168863093745575,0.00170739865819147,0.00280373340104045,0.0143308208720287,0,0.0441155178540935,0.0500218252879439,0.0457023824983431,0.0632422293995512,0.0451752103026783,0.0199901098951258
"12",0.00155382076866983,0.0015793988086279,0.00522513855779749,0.00509915224598201,0,0.0353081311200336,0.0377246853739051,0.0408483777166255,0.0241027872029229,0.04000238751106,0.0276355961527184
"13",0.00149715142597939,0.00150004355175337,0.00185747687633642,0.0216979946411233,0,-0.00110864088381524,-0.00508694173849022,-0.00812008772073947,0.0208085721060161,-0.0154531372690401,0.0270170383008765
"14",0.00150265316218423,0.00162251198474461,0.00154645848939383,0.00197036815719454,0,0.0467392120944323,0.0495039909483639,0.0532783438936901,0.0442167615122475,0.0410001670643378,-0.00313717178500106
"15",0.00151585489196471,0.00150494888094155,0.00223669776716307,0.00451104357695886,0,0.00996092593988473,0.022189695032595,0.0190859357511468,0.0401255508759863,-0.00469734220964169,-0.0101182361474725
"16",0.00139780775490328,0.00141660708064384,0.00223882818894916,0.00369033712030298,0,0.0442843282487844,0.0378013512354096,0.0405022603426533,0.0262173646149724,0.039482004516505,-0.00124038617980426
"17",0.00153456462753576,0.00153876327200164,0.00319269862017357,-0.00605839929070928,0,0.0140746411029156,0.00158022995674667,0.00141464055316476,0.00162634942609108,0.0172996866539137,-0.0277420417558027
"18",0.00148605026789372,0.00147918433268712,0.00511263762453806,0.00594399721304306,0,-0.00755111352639171,0.00179702151397088,-0.000376015493629644,0.008438757170802,-0.000679474602932384,-0.00631899466182073
"19",0.00134554855240632,0.00137225213792025,0.0052341940473819,0.00259751287694776,0,0.00911353414603422,0.00820287688329646,0.0114281709823016,-0.00982375297835114,0.0165457875506632,0.0158560886320553
"20",0.00152021220109955,0.00156055259996357,0.00209163982147231,-0.0255109389598798,0,-0.066006375451118,-0.0495475793348996,-0.0528338008946876,-0.0421998582522147,-0.0687369131151869,-0.0312530546589733
"21",0.00146428063682569,0.00153913420849161,0.00278672635182131,0.00437627236365445,0,0.050685334915507,0.0152101284226402,0.0159458701895874,0.0301319559575783,0.024431727995387,-0.020288994525647
"22",0.00130148540802644,0.00133769130667449,0.00135554396228388,0.000279678992492371,0,0.00170370310781243,0.00675595762666248,0.00566914072078717,0.00902124892591427,-0.0081528403309945,0.0211773705580698
"23",0.00149079747034842,0.00156311461034164,0.00554970908028851,-0.00510868729393987,0,-0.0462072209307949,-0.0201598053757781,-0.0189114496531135,-0.0242103282863377,-0.0150821539003902,-0.018510826467852
"24",0.0013665219567609,0.00150396592874946,0.00504246985288548,0.0250579776963189,0,0.0200236184283442,0.00455344377716393,0.00250473621744174,0.0190404250451444,0.0249033663819676,0.0470140649630504
"25",0.00115893421534041,0.00127517905205465,0.00135325492219618,0.00379994529338701,0,-0.0186917116698146,-0.0296176930051644,-0.0291375181459972,-0.0216192315216341,-0.0116044112951714,-0.00327195021240101
"26",0.00115759264147064,0.00120755870861178,0.000793149984852359,-0.0208018292169463,0,0.00500437933751385,-0.00509473326114662,-0.00526120629754789,-0.00337020308280822,0.0082390586166694,-0.0246173586994871
"27",0.00108022588744472,0.00118726810395975,0.00215556656735005,0.0043200617434116,0,-0.0457303914331435,-0.0383143363301643,-0.0394470357570538,-0.0346972440833189,-0.0375032259489201,0.023840213212746
"28",0.00101070366491651,0.00103535267710431,-0.000316501423458071,-0.0366932950040764,0,-0.0338200412694234,-0.030439923725651,-0.0328943368852812,-0.0184381321962142,-0.0471992235771603,-0.0535544533378016
"29",0.000971743596911434,0.0010060883291465,0.000288983536830045,-0.0348967735341397,0,-0.0201806955191945,-0.0133126262877834,-0.0184166607603862,0.0149274202177483,-0.0441875161463088,-0.0466534727689036
"30",0.000963219502684076,0.00101446561396079,0.00219217707663999,0.0412602791349843,0,0.0354940363857401,0.0215105280633185,0.02119365908136,0.0223849761836292,0.0353492252559224,0.0647388018669268
"31",0.00100015919959606,0.0010697094976182,0.0016735372461274,0.0205346024417077,0,-0.0265543999239686,-0.00119958490297201,-0.0023254646207711,0.0142998096494411,-0.0367601049381507,-0.017649682989525
"32",0.000968896971542232,0.00105919801437437,0.00173231355051717,-0.025770779810717,0,-0.0524904795138972,-0.0456652189431406,-0.049402193643326,-0.0203146584573499,-0.0714140570867805,-0.0162293005542673
