"","PTT.BK","KTC.BK","CPALL.BK","MINT.BK","SCB.BK","KBANK.BK","CPN.BK","AOT.BK"
"2006-02-28",24.924,2.525,3.2,5.49587,65,67,9,5.15
"2006-03-01",24.982,2.49,3.25,5.70248,65,68,9.3,5.2
"2006-03-02",25.382,2.48,3.3,6.07438,64.5,67.5,9.6,5.15
"2006-03-03",25.443001,2.49,3.375,6.65289,64,67,9.7,5.15
"2006-03-06",25.200001,2.48,3.35,6.65289,64.5,67.5,9.7,5.15
"2006-03-07",24.799999,2.46,3.225,6.44628,63,66,9.35,5.1
"2006-03-08",24.4,2.45,3.3,6.40496,61.5,64,9,5.05
"2006-03-09",24.6,2.46,3.3,6.40496,62,65.5,9,5.1
"2006-03-10",24.6,2.47,3.35,6.36364,62,64.5,9,5.1
"2006-03-13",24.763,2.48,3.325,6.36364,60.5,65.5,9,5.15
"2006-03-14",25.200001,2.49,3.35,6.44628,62,65,9.05,5.1
"2006-03-15",24.6,2.48,3.35,6.77686,63,65.5,9,5.05
"2006-03-16",24.6,2.47,3.275,6.57025,62,64.5,9,5
"2006-03-17",24.799999,2.47,3.275,6.65289,63,65,9,4.925
"2006-03-20",24.4,2.47,3.3,6.73554,62.5,64.5,8.9,4.925
"2006-03-21",24,2.47,3.2,6.69421,63.5,64,8.95,4.95
"2006-03-22",23.799999,2.43,3.225,6.69421,63,63,8.85,4.95
"2006-03-23",24.200001,2.43,3.275,6.69421,64.5,64,8.9,4.95
"2006-03-24",24,2.41,3.275,6.65289,65,64.5,8.85,4.925
"2006-03-27",24,2.44,3.3,6.65289,64.5,65,9,4.95
"2006-03-28",24,2.45,3.3,6.61157,64,64.5,9,4.9
"2006-03-29",23.4,2.45,3.3,6.61157,63.5,64.5,9.2,4.75
"2006-03-30",23.200001,2.44,3.325,6.61157,64,64.5,9.55,4.8
"2006-03-31",23.378,2.44,3.35,6.73554,64.5,66,9.45,4.825
"2006-04-03",23.490999,2.29,3.3,6.69421,64.5,68,9.4,4.925
"2006-04-04",24.6,2.29,3.3,6.94215,66,69,9.15,4.975
"2006-04-05",25.169001,2.33,3.5,7.89256,70.5,71,9.5,5.05
"2006-04-06",252,23.299999,3.5,7.89256,70.5,71,9.5,5.05
"2006-04-07",25.504999,2.35,3.575,7.60331,69.5,68.5,9.65,5.1
"2006-04-10",25,2.33,3.425,7.97521,68.5,67,9.4,5.1
"2006-04-11",25.254,2.33,3.475,7.85124,66,67.5,9.25,5.05
"2006-04-12",25.4,2.313,3.475,8.01653,65,66,9.35,5
"2006-04-13",254,23,3.475,8.01653,65,66,9.35,5
"2006-04-14",254,23,3.475,8.01653,65,66,9.35,5
"2006-04-17",25.799999,2.3,3.4,7.89256,63.5,66,9.45,5.1
"2006-04-18",26,2.29,3.45,7.93388,64.5,66,9.45,5.1
"2006-04-19",260,22.9,3.45,7.93388,64.5,66,9.45,5.1
"2006-04-20",27,2.3,3.575,7.93388,66,66.5,9.45,5.15
"2006-04-21",26.6,2.3,3.6,7.80992,64.5,66.5,9.5,5.15
"2006-04-24",26.799999,2.3,3.575,7.72727,63,65.5,9.45,5.15
"2006-04-25",26.200001,2.3,3.725,7.93388,64,66,9.45,5.15
"2006-04-26",26.4,2.33,3.875,8.76033,65,67.5,9.45,5.55
"2006-04-27",26,2.31,3.9,9.00826,65,66.5,9.9,5.75
"2006-04-28",25.798,2.31,3.8,9.58678,65,66,9.9,5.85
"2006-05-01",25.798,2.31,3.8,9.58678,65,66,9.9,5.85
"2006-05-02",25.990999,2.32,3.725,9.42149,64.5,66,10.25,5.75
"2006-05-03",26.4,2.34,3.75,9.00826,64,66.5,10.75,5.75
"2006-05-04",25.997,2.35,3.75,8.92562,63.5,65.5,10.5,5.8
"2006-05-05",262,23.5,3.75,8.92562,63.5,65.5,10.5,5.8
"2006-05-08",26.6,2.35,3.825,9.42149,66.5,68.5,11,5.9
"2006-05-09",26.4,2.38,3.925,9.42149,69,69,11.25,5.95
"2006-05-10",26.200001,2.37,3.925,9.50413,68,68.5,11.1,6.2
"2006-05-11",26,2.32,3.95,9.42149,67.5,67.5,10.85,6.2
"2006-05-12",260,23.200001,3.95,9.42149,67.5,67.5,10.85,6.2
"2006-05-15",25.4,2.28,3.875,9.50413,65,66.5,10.95,6.4
"2006-05-16",25.4,2.26,3.85,9.42149,64,66,11,6.15
"2006-05-17",25.200001,2.17,3.8,9.50413,63.5,66,10.95,6.4
"2006-05-18",25,2.15,3.675,9.33884,61.5,64,10.75,6.25
"2006-05-19",25,2.18,3.6,9.33884,61.5,64.5,10.2,6.15
"2006-05-22",24.989,2.13,3.4,8.92562,60,63,9.65,5.9
"2006-05-23",24.492001,2.15,3.4,8.67769,59.5,64.5,9.65,5.85
"2006-05-24",24.254999,2.07,3.3,8.42975,59,62.5,9.7,5.65
"2006-05-25",23.636,2.06,3.05,8.5124,58,61,9.4,5.5
"2006-05-26",24.047001,2.08,3.225,8.76033,59.5,62.5,9.5,5.7
"2006-05-29",24.6,2.08,3.25,8.5124,60.5,62.5,9.45,5.7
"2006-05-30",24.24,2.03,3.3,8.5124,59.5,61.5,9.9,5.55
"2006-05-31",24.200001,1.97,3.5,9.09091,58.5,62,10,5.7
"2006-06-01",24.4,1.95,3.875,8.92562,59.5,62,10.5,5.7
"2006-06-02",24.695999,1.94,3.925,9.17355,60,62.5,10.65,5.7
"2006-06-05",24.4,1.9,3.825,9.17355,59,61,10.3,5.55
"2006-06-06",24.014999,1.88,3.55,8.67769,57.5,59,10.1,5.55
"2006-06-07",23.4,1.84,3.5,8.34711,55,56.5,9.85,5.35
"2006-06-08",22.799999,1.8,3.225,8.22314,53.5,56.5,10,5.2
"2006-06-09",22.200001,1.8,3.15,7.64463,52,57,9.8,5.25
"2006-06-12",222,18,3.15,7.64463,52,57,9.8,5.25
"2006-06-13",222,18,3.15,7.64463,52,57,9.8,5.25
"2006-06-14",21.056999,1.75,3.2,7.02479,51,54.5,9.5,5.4
"2006-06-15",20.799999,1.7,3.575,7.31405,51,55,9.55,5.4
"2006-06-16",21.799999,1.7,3.625,7.72727,53.5,57,10,5.5
"2006-06-19",21.6,1.71,3.6,7.68595,53,56.5,10.05,5.55
"2006-06-20",21.117001,1.62,3.45,7.43802,51,55,10,5.45
"2006-06-21",21.229,1.59,3.375,7.52066,51.5,54.5,10.05,5.5
"2006-06-22",21.799999,1.6,3.325,7.68595,53.5,56,9.95,5.6
"2006-06-23",21.799999,1.59,3.425,8.09917,55,56,10,5.55
"2006-06-26",21.6,1.59,3.475,8.01653,54,56,9.8,5.45
"2006-06-27",21.886,1.61,3.4,7.89256,54,56,9.8,5.5
"2006-06-28",21.792,1.63,3.475,7.68595,55.5,58,9.75,5.5
"2006-06-29",22.247,1.67,3.525,7.52066,57.5,58.5,9.55,5.55
"2006-06-30",22.799999,1.67,3.6,7.80992,57.5,59,9.5,5.6
"2006-07-03",23.4,1.66,3.6,7.56198,58.5,59,9.4,5.55
"2006-07-04",24,1.71,3.7,7.56198,60.5,60,9.5,5.65
"2006-07-05",23.200001,1.67,3.675,7.52066,58.5,58.5,9.35,5.5
"2006-07-06",23.497,1.65,3.725,7.60331,58,59,9.25,5.6
"2006-07-07",23.200001,1.65,3.85,7.72727,57.5,59,9.35,5.55
"2006-07-10",23.4,1.65,3.775,7.56198,58,59.5,9.35,5.65
"2006-07-11",234,16.5,3.775,7.56198,58,59.5,9.35,5.65
"2006-07-12",23.6,1.65,3.575,7.60331,58,60,9.3,5.8
"2006-07-13",23,1.62,3.4,7.60331,56,59,9.35,5.6
"2006-07-14",23,1.54,3.375,7.52066,53.5,56.5,9.15,5.65
"2006-07-17",22.799999,1.52,3.325,7.19008,52.5,55,8.8,5.5
"2006-07-18",22.799999,1.52,3.425,7.19008,53.5,56,8.55,5.55
"2006-07-19",22.799999,1.54,3.425,7.02479,53.5,56.5,8.4,5.65
"2006-07-20",23.200001,1.53,3.425,7.19008,54.5,57.5,8.65,5.8
"2006-07-21",23.6,1.57,3.425,7.43802,57.5,60,8.55,5.9
"2006-07-24",23.5,1.56,3.45,7.47934,58,60.5,8.5,6
"2006-07-25",23.4,1.6,3.425,7.60331,57.5,61,8.55,5.95
"2006-07-26",23.4,1.61,3.425,7.85124,59,60.5,8.9,5.95
"2006-07-27",23.6,1.63,3.425,8.09917,59,61,9.25,5.95
"2006-07-28",23.6,1.62,3.4,8.5124,57.5,61.5,9.3,5.95
"2006-07-31",23.6,1.62,3.4,8.34711,57.5,61.5,9.5,5.85
"2006-08-01",23.646,1.58,3.35,7.93388,56.5,62,9.1,5.8
"2006-08-02",24.200001,1.6,3.35,8.05785,56.5,61,9.15,5.75
"2006-08-03",24.6,1.61,3.375,8.1405,58.5,61.5,9.4,5.8
"2006-08-04",24.4,1.61,3.375,8.26446,58.5,61.5,9.5,5.85
"2006-08-07",24.6,1.61,3.425,8.26446,59,62,9.8,5.9
"2006-08-08",25,1.62,3.525,8.26446,58.5,62.5,9.8,5.9
"2006-08-09",24.799999,1.6,3.5,8.26446,58,62.5,9.85,5.95
"2006-08-10",24.4,1.6,3.375,8.18182,57,60.5,9.55,5.85
"2006-08-11",24.799999,1.6,3.4,8.09917,58.5,63,9.8,5.85
"2006-08-14",248,16,3.4,8.09917,58.5,63,9.8,5.85
"2006-08-15",24.799999,1.6,3.375,7.93388,60,63,9.8,5.9
"2006-08-16",25.4,1.65,3.35,8.26446,60,63,9.6,5.9
"2006-08-17",24.799999,1.73,3.375,8.1405,61,63.5,9.6,5.9
"2006-08-18",24.4,1.84,3.35,8.22314,61.5,64,9.8,5.9
"2006-08-21",24.6,1.82,3.275,8.26446,61,64,9.8,5.9
"2006-08-22",24.6,1.87,3.225,8.05785,61,64,9.55,5.9
"2006-08-23",24.200001,1.93,3.125,8.09917,58,62,9.4,5.85
"2006-08-24",24.200001,1.91,3.125,7.80992,58.5,62,9.35,5.7
"2006-08-25",24,1.94,3.2,8.01653,58.5,63,9.55,5.75
"2006-08-28",23.6,1.92,3.15,7.7686,57.5,62.5,9.5,5.55
"2006-08-29",23.6,1.95,3.15,7.85124,58.5,63,9.65,5.6
"2006-08-30",23.200001,1.94,3.15,7.7686,58,63,9.75,5.6
"2006-08-31",23.6,1.95,3.15,7.68595,58,62.5,9.75,5.6
"2006-09-01",23.799999,1.93,3.175,7.72727,58.5,63,9.8,5.7
"2006-09-04",23.799999,1.94,3.175,7.72727,60,65.5,9.6,5.8
"2006-09-05",23.799999,1.85,3.075,7.56198,59,65,9.55,5.8
"2006-09-06",23.799999,1.9,3.1,7.64463,59,64,9.7,5.85
"2006-09-07",22.6,1.9,3.1,7.60331,58.5,64.5,9.6,5.8
"2006-09-08",21.799999,1.9,3.175,7.60331,59,64.5,9.7,5.8
"2006-09-11",21.200001,1.88,3.175,7.60331,59,64.5,9.55,5.75
"2006-09-12",21.200001,1.91,3.1,7.60331,59,64,9.65,5.75
"2006-09-13",21.4,1.94,3.075,7.68595,60,65.5,9.5,5.9
"2006-09-14",21.799999,1.94,3.075,7.60331,61,67,9.45,5.9
"2006-09-15",21.6,1.93,3.05,7.56198,62,68,9.5,5.85
"2006-09-18",22,2.03,3,7.60331,62.5,68,9.55,5.9
"2006-09-19",21.799999,2,2.825,7.47934,63,67.5,9.45,5.85
"2006-09-20",218,20,2.825,7.47934,63,67.5,9.45,5.85
"2006-09-21",21.200001,2,2.95,7.43802,63.5,69,9.35,5.85
"2006-09-22",21.200001,2,2.9,7.43802,62,67.5,9.5,5.65
"2006-09-25",21.200001,1.97,2.9,7.47934,62,67,9.45,5.9
"2006-09-26",21.200001,2,2.925,7.60331,61.5,68,9.55,5.8
"2006-09-27",22,2.03,2.925,8.01653,62,68,9.65,5.85
"2006-09-28",21.799999,2.04,3.1,7.89256,60,67,9.6,5.75
"2006-09-29",21.799999,2.04,3,7.89256,60,67,9.6,5.8
"2006-10-02",21.799999,2.05,3.075,7.7686,59,66,9.75,5.75
"2006-10-03",21.4,2,3.15,7.68595,59,64.5,9.8,5.75
"2006-10-04",21.200001,2.03,3.225,7.72727,61,66,9.8,5.8
"2006-10-05",21.200001,2.02,3.2,7.7686,61.5,68.5,9.95,5.8
"2006-10-06",21.200001,2.01,3.2,8.01653,61,68.5,9.75,5.75
"2006-10-09",21.200001,1.99,3.2,7.89256,61,67.5,9.8,5.75
"2006-10-10",21.6,2,3.2,7.93388,61,68.5,10.05,5.8
"2006-10-11",21.4,1.97,3.15,8.05785,60.5,68,10.5,5.7
"2006-10-12",21.6,2.05,3.15,8.1405,62.5,69,10.3,5.8
"2006-10-13",21.4,2.04,3.125,8.22314,64,69,10.7,6.2
"2006-10-16",21.799999,2.15,3.15,8.1405,64.5,69.5,10.95,6.1
"2006-10-17",21.6,2.17,3.125,8.1405,63,68,10.95,6.1
"2006-10-18",22,2.24,3.2,8.22314,65,69.5,11.35,6.2
"2006-10-19",21.799999,2.38,3.15,8.26446,67,70,11.25,6.1
"2006-10-20",22.200001,2.39,3.175,8.22314,66.5,70.5,11.35,6.25
"2006-10-23",222,23.9,3.175,8.22314,66.5,70.5,11.35,6.25
"2006-10-24",22.200001,2.43,3.325,8.18182,66.5,71.5,11.75,6.45
"2006-10-25",22.6,2.42,3.3,8.22314,65.5,71.5,12.1,6.35
"2006-10-26",22.799999,2.5,3.225,8.59504,65.5,71.5,11.15,6.4
"2006-10-27",22.799999,2.55,3.3,8.76033,65,70.5,10.8,6.4
"2006-10-30",22.4,2.55,3.225,8.67769,64.5,68.5,10.55,6.4
"2006-10-31",22.200001,2.7,3.225,8.92562,65.5,69,10.95,6.6
"2006-11-01",22.6,2.7,3.3,8.84298,66.5,70,11.1,6.7
"2006-11-02",22.4,2.675,3.25,9.00826,66.5,70.5,11,6.6
"2006-11-03",22.6,2.625,3.2,8.84298,67.5,70.5,11.2,6.6
"2006-11-06",22.6,2.575,3.225,8.92562,68.5,71.5,11.1,6.5
"2006-11-07",22.799999,2.575,3.225,9.17355,69,72.5,11.05,6.5
"2006-11-08",22.799999,2.5,3.25,9.17355,69.5,71.5,11,6.55
"2006-11-09",22.799999,2.625,3.475,9.00826,69.5,72.5,11.1,6.7
