"","Date","TMBTM","SCBTMFPLUS","KFMTFI","TMBGF","KF-CINCOME","SCBSETFUND","ABG","ABSL","ABSM","JB25","ABWOOF"
"1054","29/9/2557","12.9772","10.4705","14.0858","13.0943","10.1010","18.6038","118.3412","45.4580","45.2323","35.8590","12.4052"
"1150","30/9/2557","12.9778","10.4710","14.0858","13.0332","10.1010","18.6104","118.3674","45.4854","45.2300","35.9223","12.3034"
"2","1/10/2557","12.9785","10.4715","14.0926","13.0677","10.1010","18.6235","118.2035","45.4449","45.1077","35.9439","12.1362"
"517","2/10/2557","12.9791","10.4721","14.0966","13.0349","10.1010","18.4050","117.2135","45.0429","44.6878","35.6296","12.1362"
"1062","3/10/2557","12.9797","10.4725","14.0944","13.0487","10.1010","18.4128","117.2141","45.0407","44.7452","35.5807","12.1362"
"1279","6/10/2557","12.9815","10.4740","14.0996","13.0748","10.1010","18.1041","115.6909","44.4259","44.2358","35.1380","12.2598"
"1326","7/10/2557","12.9821","10.4745","14.1069","13.0671","10.1010","18.0617","115.2108","44.2548","44.0717","35.0434","12.2467"
"1376","8/10/2557","12.9828","10.4750","14.1102","13.0428","10.1010","18.0918","115.4177","44.3250","44.2003","35.0329","12.1482"
"1426","9/10/2557","12.9834","10.4755","14.1215","13.0574","10.1010","18.3023","116.8415","44.8628","44.7214","35.4601","12.2048"
"42","10/10/2557","12.9840","10.4760","14.1166","13.0849","10.1010","18.1977","116.4802","44.6952","44.6520","35.1952","11.9552"
"182","13/10/2557","12.9859","10.4775","14.1282","13.0283","10.1010","18.0651","115.9139","44.4461","44.5722","34.8355","11.8907"
"227","14/10/2557","12.9865","10.4780","14.1315","13.0428","10.1010","18.1238","115.8236","44.4509","44.6354","34.9757","11.8205"
"273","15/10/2557","12.9871","10.4785","14.1405","13.0149","10.1010","18.1196","115.6451","44.3607","44.6062","34.8693","11.8335"
"319","16/10/2557","12.9877","10.4790","14.1448","12.9339","10.1010","17.8829","114.8071","43.9910","44.3480","34.3988","11.6273"
"367","17/10/2557","12.9884","10.4795","14.1448","12.9145","10.1010","17.9208","115.2166","44.1832","44.4654","34.5114","11.6603"
"566","20/10/2557","12.9902","10.4810","14.1467","12.9805","10.1010","17.8847","115.1777","44.2123","44.2791","34.5685","11.7862"
"618","21/10/2557","12.9909","10.4815","14.1506","12.9666","10.1010","17.8619","115.0031","44.1345","44.2535","34.5955","11.8224"
"670","22/10/2557","12.9915","10.4820","14.1512","12.9851","10.1010","17.9296","115.2842","44.2096","44.4543","34.7833","11.9526"
"764","24/10/2557","12.9927","10.4831","14.1525","13.0050","10.1010","18.0017","115.6019","44.3326","44.6201","34.9506","11.9526"
"915","27/10/2557","12.9946","10.4846","14.1520","13.0351","10.1010","18.0852","116.3124","44.6020","44.8726","35.0288","11.9961"
"966","28/10/2557","12.9952","10.4851","14.1520","13.0077","10.1010","18.1637","116.7537","44.7415","45.0876","35.1767","11.9890"
"1017","29/10/2557","12.9959","10.4855","14.1499","13.0653","10.1010","18.2279","117.3020","44.9909","45.3681","35.2812","12.1268"
"1115","30/10/2557","12.9965","10.4860","14.1508","13.0849","10.1010","18.2473","117.3922","45.0226","45.3430","35.3825","12.0422"
"1158","31/10/2557","12.9971","10.4865","14.1580","13.1109","10.1010","18.4704","118.5803","45.4683","45.6133","35.8979","12.2259"
"1066","3/11/2557","12.9989","10.4880","14.1752","13.1440","10.1010","18.4190","119.0062","45.6153","45.8478","35.8228","12.2502"
"1188","4/11/2557","12.9996","10.4885","14.1788","13.1121","10.1010","18.4843","119.3380","45.7067","45.9455","36.0103","12.2371"
"1239","5/11/2557","13.0002","10.4891","14.1903","13.0991","10.1010","18.3835","118.4889","45.4255","45.4876","35.8246","12.2230"
"1284","6/11/2557","13.0009","10.4896","14.1852","13.0938","10.1010","18.4204","118.3882","45.3943","45.3514","35.9961","12.3175"
"1330","7/11/2557","13.0014","10.4901","14.1827","13.0923","10.1010","18.3730","118.0518","45.2598","45.1914","35.8875","12.2522"
"46","10/11/2557","13.0033","10.4916","14.1882","13.0877","10.1010","18.2443","117.7262","45.1116","44.9945","35.5717","12.3062"
"91","11/11/2557","13.0039","10.4921","14.1918","13.1093","10.1010","18.3005","117.6744","45.1353","44.8763","35.7621","12.3190"
"140","12/11/2557","13.0045","10.4926","14.2004","13.0990","10.1010","18.2195","116.8852","44.8175","44.5773","35.6321","12.3085"
"186","13/11/2557","13.0052","10.4931","14.2001","13.1093","10.1010","18.3955","116.9618","44.9371","44.3662","36.0508","12.3017"
"231","14/11/2557","13.0058","10.4937","14.1997","13.0719","10.1010","18.3743","117.0160","44.9615","44.4234","35.9062","12.2560"
"371","17/11/2557","13.0077","10.4952","14.2079","13.0729","10.1010","18.2934","116.5988","44.8108","44.2854","35.7005","12.1985"
"422","18/11/2557","13.0083","10.4957","14.2145","13.0812","10.1010","18.4435","117.5472","45.1848","44.5092","35.9891","12.2548"
"473","19/11/2557","13.0089","10.4962","14.2185","13.0924","10.1010","18.4001","117.2622","45.0579","44.4821","35.9286","12.3017"
"571","20/11/2557","13.0096","10.4967","14.2200","13.0774","10.1010","18.2931","117.0234","44.9654","44.4090","35.6834","12.2977"
"622","21/11/2557","13.0102","10.4972","14.2221","13.0934","10.1010","18.4363","117.3910","45.1601","44.4249","36.0415","12.3563"
"767","24/11/2557","13.0121","10.4987","14.2268","13.1761","10.1010","18.5690","118.0239","45.4251","44.5608","36.3060","12.4822"
"817","25/11/2557","13.0127","10.4992","14.2251","13.1508","10.1010","18.6390","118.8118","45.7105","44.9164","36.5597","12.4173"
"868","26/11/2557","13.0133","10.4997","14.2254","13.1511","10.1010","18.5955","119.0408","45.7808","44.9420","36.5223","12.4262"
"920","27/11/2557","13.0140","10.5003","14.2287","13.1446","10.1010","18.6994","119.5049","45.9724","45.0246","36.6963","12.4492"
"970","28/11/2557","13.0146","10.5009","14.2323","13.1450","10.1010","18.6395","119.5570","45.9909","45.1674","36.4968","12.4213"
"9","1/12/2557","13.0165","10.5024","14.2452","13.0785","10.1010","18.6353","120.4313","46.2985","45.4752","36.3541","12.2982"
"526","2/12/2557","13.0171","10.5029","14.2463","13.0285","10.1010","18.6387","120.7483","46.4241","45.4985","36.3178","12.2011"
"1071","3/12/2557","13.0177","10.5035","14.2450","13.0332","10.1010","18.6375","120.9824","46.4013","45.8609","36.3490","12.2143"
"1192","4/12/2557","13.0184","10.5039","14.2464","13.0544","10.1010","18.6561","120.6002","46.2602","45.8034","36.4361","12.2635"
"1383","8/12/2557","13.0208","10.5060","14.2474","13.0183","10.1010","18.3994","119.2540","45.7083","45.3118","35.9244","12.2442"
"1435","9/12/2557","13.0214","10.5065","14.2493","12.9854","10.1010","18.2052","118.6568","45.5030","45.1337","35.3273","12.1011"
"95","11/12/2557","13.0226","10.5076","14.2560","12.9623","10.1010","17.8254","116.7340","44.7058","44.5566","34.5830","11.8626"
"144","12/12/2557","13.0233","10.5081","14.2580","12.8319","10.1010","17.6699","116.4498","44.5754","44.5310","34.2910","11.7957"
"279","15/12/2557","13.0252","10.5096","14.2609","12.7742","10.1010","17.2823","114.1045","43.7219","43.4621","33.6996","11.7031"
"328","16/12/2557","13.0258","10.5101","14.2539","12.6975","10.1010","17.0705","113.1017","43.3019","43.4119","32.9982","11.5448"
"376","17/12/2557","13.0264","10.5106","14.2499","12.6283","10.1010","17.2877","113.9758","43.6128","43.7478","33.4324","11.5584"
"426","18/12/2557","13.0270","10.5110","14.2483","12.7284","10.1010","17.7177","115.6549","44.3007","44.1086","34.4694","11.7326"
"477","19/12/2557","13.0276","10.5115","14.2455","12.8106","10.1010","17.6878","115.6945","44.3355","44.0600","34.3477","11.9017"
"677","22/12/2557","13.0295","10.5131","14.2475","12.8309","10.1010","17.9369","116.9636","44.8565","44.4182","35.0119","12.0255"
"723","23/12/2557","13.0301","10.5137","14.2495","12.8374","10.1010","17.8604","116.5127","44.7075","44.3333","34.8309","12.0415"
"772","24/12/2557","13.0307","10.5142","14.2463","12.8119","10.1010","17.7830","115.8679","44.4703","44.0200","34.7642","12.0968"
"821","25/12/2557","13.0313","10.5147","14.2474","12.7957","10.1010","17.5376","114.7187","44.0056","43.7683","34.2378","12.0968"
"872","26/12/2557","13.0319","10.5152","14.2496","12.7965","10.1010","17.6062","115.1164","44.1794","43.8362","34.4809","12.0968"
"1024","29/12/2557","13.0338","10.5167","14.2527","12.8028","10.1010","17.4555","114.2030","43.8205","43.5337","34.1477","12.0968"
"1123","30/12/2557","13.0344","10.5173","14.2621","12.8139","10.1010","17.4489","113.7776","43.6241","43.3010","34.0724","12.0391"
"1230","5/1/2558","13.0380","10.5204","14.2829","12.8181","10.1010","17.2821","113.1476","43.3903","43.4241","33.5770","11.8153"
"1276","6/1/2558","13.0386","10.5210","14.2891","12.7212","10.1010","17.2182","112.3324","43.0193","43.3923","33.3961","11.5718"
"1322","7/1/2558","13.0392","10.5215","14.2916","12.6890","10.1010","17.4893","113.1810","43.3633","43.6226","33.9274","11.5735"
"1371","8/1/2558","13.0400","10.5222","14.2912","12.7418","10.1010","17.7374","114.5467","43.9371","44.0309","34.4746","11.6905"
"1421","9/1/2558","13.0404","10.5227","14.2915","12.8438","10.1010","17.8164","114.9216","44.1039","44.0481","34.4705","11.8021"
"131","12/1/2558","13.0423","10.5242","14.2952","12.8439","10.1010","17.8361","114.5933","43.9503","44.0687","34.3049","11.7416"
"179","13/1/2558","13.0429","10.5247","14.2994","12.7952","10.1010","17.8706","114.6811","44.0020","44.1503","34.1933","11.7060"
"223","14/1/2558","13.0435","10.5252","14.2999","12.8057","10.1010","17.7358","113.9789","43.7004","44.0994","33.8181","11.6176"
"268","15/1/2558","13.0441","10.5257","14.2981","12.7970","10.1010","17.7302","113.9369","43.7031","43.9992","33.8344","11.6573"
"314","16/1/2558","13.0449","10.5263","14.2988","12.7990","10.1010","17.6617","113.4939","43.5352","43.9149","33.7477","11.6294"
"464","19/1/2558","13.0468","10.5278","14.2952","12.8739","10.1010","17.8352","114.0744","43.7678","44.0275","34.1383","11.7713"
"563","20/1/2558","13.0474","10.5285","14.2924","12.8151","10.1010","17.8197","113.8200","43.6439","44.0683","34.0454","11.8591"
"614","21/1/2558","13.0481","10.5291","14.2952","12.8407","10.1010","17.8448","113.9226","43.6823","44.1578","33.9627","11.8213"
"665","22/1/2558","13.0487","10.5295","14.2954","12.8042","10.1010","18.1197","114.9001","44.1048","44.2892","34.5338","11.9340"
"714","23/1/2558","13.0493","10.5300","14.3051","12.9453","10.1010","18.5511","116.5603","44.7359","44.8108","35.2534","12.0181"
"860","26/1/2558","13.0511","10.5316","14.3079","13.0122","10.1010","18.4392","116.4476","44.6637","44.8247","35.1594","11.9092"
"912","27/1/2558","13.0517","10.5321","14.3076","12.9877","10.1010","18.4620","116.5518","44.7378","44.8305","35.2988","11.9531"
"962","28/1/2558","13.0523","10.5326","14.3033","12.9462","10.1010","18.4781","116.1420","44.6086","44.6423","35.1990","11.9639"
"1012","29/1/2558","13.0529","10.5331","14.3045","12.8927","10.1010","18.4051","115.8881","44.4897","44.6309","35.1189","11.8354"
"1110","30/1/2558","13.0535","10.5335","14.3019","12.8701","10.1010","18.3561","115.5214","44.3253","44.6256","34.9151","11.7973"
"529","2/2/2558","13.0553","10.5350","14.3081","12.7820","10.1010","18.3686","115.0604","44.1448","44.4911","35.0014","11.6550"
"1075","3/2/2558","13.0559","10.5355","14.3072","12.7664","10.1010","18.5984","116.1964","44.5936","44.6583","35.5935","11.8375"
"1197","4/2/2558","13.0565","10.5360","14.3048","12.8540","10.1010","18.5546","116.2627","44.6844","44.5363","35.6244","12.0196"
"1243","5/2/2558","13.0571","10.5365","14.3060","12.8515","10.1010","18.6424","116.6434","44.8350","44.5435","35.6600","11.9314"
"1293","6/2/2558","13.0577","10.5370","14.3050","12.8671","10.1010","18.7016","116.8491","44.9253","44.5644","35.7524","12.0109"
"1438","9/2/2558","13.0596","10.5385","14.3074","12.9190","10.1010","18.5644","116.5379","44.7802","44.4739","35.3548","11.9399"
"51","10/2/2558","13.0602","10.5390","14.3041","12.8992","10.1010","18.5041","115.4353","44.3472","44.2264","35.2048","11.9648"
"99","11/2/2558","13.0608","10.5395","14.3024","12.8589","10.1010","18.6225","116.1396","44.6520","44.4049","35.4065","11.9399"
"148","12/2/2558","13.0614","10.5400","14.3000","12.8190","10.1010","18.7249","116.5439","44.8017","44.5758","35.5729","11.9697"
"195","13/2/2558","13.0620","10.5405","14.2987","12.8402","10.1010","18.7504","116.3801","44.7241","44.4895","35.6125","12.0702"
"331","16/2/2558","13.0638","10.5420","14.2976","12.8569","10.1010","18.6572","116.0932","44.5908","44.4699","35.4467","12.1574"
"380","17/2/2558","13.0644","10.5425","14.3044","12.8576","10.1010","18.4107","115.5970","44.3788","44.4781","34.9867","12.1343"
"431","18/2/2558","13.0650","10.5430","14.3026","12.8479","10.1010","18.5846","116.7043","44.7834","45.0373","35.2850","12.1443"
"482","19/2/2558","13.0656","10.5435","14.3062","12.7929","10.1010","18.5377","117.0885","44.9248","45.0898","35.0811","12.0790"
"580","20/2/2558","13.0662","10.5440","14.3067","12.7701","10.1010","18.5796","117.3388","45.0096","45.2305","35.2004","12.0790"
"726","23/2/2558","13.0681","10.5455","14.3076","12.7566","10.1010","18.4709","116.8443","44.8012","45.2371","34.9376","12.0790"
"776","24/2/2558","13.0687","10.5460","14.3085","12.7512","10.1010","18.5376","117.1514","44.9345","45.2800","35.0113","12.0883"
"826","25/2/2558","13.0693","10.5465","14.3118","12.7899","10.1010","18.4146","116.5938","44.6979","45.0462","34.6588","12.1590"
"877","26/2/2558","13.0700","10.5470","14.3198","12.8032","10.1010","18.4789","116.5166","44.6595","44.8222","34.8579","12.0992"
"929","27/2/2558","13.0705","10.5476","14.3213","12.8737","10.1010","18.3874","116.3045","44.5773","45.0300","34.6316","12.0498"
"533","2/3/2558","13.0722","10.5491","14.3307","12.8879","10.1010","18.3324","116.0882","44.4857","44.9609","34.5923","12.0163"
"1079","3/3/2558","13.0729","10.5496","14.3278","12.8741","10.1010","18.1380","114.9589","44.1479","44.2781","34.4169","12.0346"
"1248","5/3/2558","13.0741","10.5506","14.3330","12.8699","10.1010","18.0253","114.9045","44.1426","44.2141","34.3538","11.9697"
"1298","6/3/2558","13.0747","10.5511","14.3343","12.8556","10.1010","18.2274","115.8468","44.5158","44.5438","34.6651","11.9597"
"1442","9/3/2558","13.0765","10.5526","14.3323","12.8508","10.1010","18.1185","114.8321","44.1081","44.2075","34.3875","11.8163"
"55","10/3/2558","13.0771","10.5531","14.3288","12.8245","10.1010","17.7766","113.4704","43.5315","44.1324","33.7950","11.7659"
"103","11/3/2558","13.0777","10.5540","14.3595","12.7915","10.1010","17.9331","114.0289","43.7792","44.0447","34.0811","11.6959"
"153","12/3/2558","13.0787","10.5548","14.3633","12.8871","10.1010","17.9305","113.9597","43.7114","44.1769","33.9600","11.7290"
"199","13/3/2558","13.0793","10.5553","14.3625","12.8787","10.1010","17.9032","113.5019","43.5449","43.9677","33.9911","11.7394"
"335","16/3/2558","13.0810","10.5568","14.3640","12.8349","10.1010","17.6066","112.3263","43.0814","43.7752","33.4622","11.7202"
"384","17/3/2558","13.0816","10.5572","14.3651","12.8322","10.1010","17.5684","112.2604","43.0767","43.6760","33.5926","11.8211"
"435","18/3/2558","13.0823","10.5578","14.3670","12.8295","10.1010","17.8003","114.0668","43.7519","44.2352","34.0586","11.8696"
"486","19/3/2558","13.0829","10.5582","14.3729","12.7788","10.1010","17.7965","113.7899","43.7025","44.0049","34.2409","11.9994"
"585","20/3/2558","13.0835","10.5587","14.3729","12.7934","10.1010","17.7930","114.8233","44.0475","44.5798","34.2694","11.9299"
"730","23/3/2558","13.0852","10.5602","14.3752","12.7809","10.1010","17.6727","114.1828","43.8326","44.2478","34.2079","12.0481"
"780","24/3/2558","13.0859","10.5607","14.3798","12.8321","10.1010","17.6296","113.7731","43.6743","44.1662","34.1968","12.0642"
"830","25/3/2558","13.0865","10.5611","14.3833","12.8631","10.1010","17.6075","113.8528","43.6995","44.1851","34.0897","12.0189"
"882","26/3/2558","13.0871","10.5617","14.3909","12.8161","10.1010","17.4200","113.2305","43.4536","43.8398","33.9290","11.8999"
"934","27/3/2558","13.0877","10.5621","14.3957","12.8267","10.1010","17.4068","112.8560","43.3389","43.6138","33.8818","11.8624"
"1126","30/3/2558","13.0894","10.5636","14.3995","12.7856","10.1010","17.4323","113.0211","43.4085","43.6105","33.8813","11.8127"
"1163","31/3/2558","13.0900","10.5641","14.4010","12.8081","10.1010","17.5571","113.9833","43.7422","43.9529","34.1132","11.8288"
"22","1/4/2558","13.0907","10.5647","14.4045","12.8432","10.1010","17.7940","115.0476","44.1120","44.4435","34.4748","11.7940"
"539","2/4/2558","13.0912","10.5652","14.4073","12.9099","10.1010","17.8587","115.4291","44.2726","44.4943","34.6789","11.7851"
"1084","3/4/2558","13.0918","10.5657","14.4077","12.9299","10.1010","17.8969","115.5272","44.3087","44.5662","34.7034","12.0537"
"1346","7/4/2558","13.0942","10.5676","14.4110","12.9354","10.1010","18.0538","116.0898","44.5215","44.7940","35.0505","12.0537"
"1396","8/4/2558","13.0948","10.5680","14.4107","13.0238","10.1010","18.0005","116.0261","44.4947","44.8393","35.0173","12.0537"
"1448","9/4/2558","13.0955","10.5685","14.4124","13.0893","10.1010","18.0253","116.0243","44.4844","44.7473","34.9734","12.0558"
"60","10/4/2558","13.0960","10.5690","14.4151","13.1096","10.1010","18.0921","116.2517","44.6155","44.7479","35.1246","12.0546"
"340","16/4/2558","13.0994","10.5718","14.4191","13.0780","10.1010","18.3346","117.2624","44.9806","44.8664","35.8077","12.1186"
"389","17/4/2558","13.1000","10.5723","14.4218","13.0327","10.1010","18.3056","117.1747","44.9202","45.0472","35.7248","12.1085"
"589","20/4/2558","13.1017","10.5737","14.4245","12.9897","10.1010","18.2265","116.7313","44.7460","45.1177","35.5055","12.0198"
"640","21/4/2558","13.1024","10.5741","14.4257","13.0105","10.1010","18.3716","117.2227","44.9489","45.2125","35.8295","12.0569"
"690","22/4/2558","13.1029","10.5746","14.4352","13.0224","10.1010","18.1629","116.4196","44.6058","45.1666","35.3254","12.0750"
"736","23/4/2558","13.1035","10.5751","14.4380","13.0818","10.1010","18.0783","115.6594","44.3264","44.7407","35.2766","12.1503"
"785","24/4/2558","13.1041","10.5756","14.4437","13.0511","10.1010","18.2048","116.2024","44.5538","44.8173","35.6569","12.2911"
"938","27/4/2558","13.1057","10.5769","14.4438","13.0574","10.1010","18.1302","115.6261","44.3152","44.8595","35.4989","12.3691"
"988","28/4/2558","13.1062","10.5774","14.4434","13.1470","10.1010","17.9251","114.6922","43.9524","44.6817","35.1815","12.3316"
"1035","29/4/2558","13.1068","10.5789","14.4588","13.1568","10.1010","17.8556","114.4507","43.8442","44.8877","34.8634","12.4167"
"1132","30/4/2558","13.1079","10.5800","14.4738","13.1331","10.1010","17.9122","114.5035","43.8519","44.7978","34.9734","12.3982"
"1303","6/5/2558","13.1111","10.5827","14.4687","13.0404","10.1010","17.8358","114.5192","43.8056","44.8844","35.0048","12.3982"
"1351","7/5/2558","13.1116","10.5832","14.4536","13.0306","10.1010","17.5699","113.5648","43.4457","44.3861","34.6826","12.4231"
"1400","8/5/2558","13.1121","10.5837","14.4554","13.0570","10.1010","17.7281","114.6437","43.8722","44.7002","35.0122","12.4699"
"111","11/5/2558","13.1137","10.5850","14.4608","13.1411","10.1010","17.6124","114.2072","43.7174","44.4801","34.8808","12.6201"
"161","12/5/2558","13.1142","10.5854","14.4551","13.1199","10.1010","17.4388","113.0560","43.2955","43.9723","34.5171","12.6125"
"204","13/5/2558","13.1148","10.5859","14.4547","13.0956","10.1010","17.5583","113.3216","43.3682","43.9892","34.8902","12.5529"
"249","14/5/2558","13.1153","10.5863","14.4585","13.0393","10.1010","17.5853","112.9473","43.2212","44.0016","34.7596","12.6589"
"293","15/5/2558","13.1159","10.5866","14.4593","13.1004","10.1010","17.7548","113.2179","43.3395","43.9990","35.0691","12.6589"
"443","18/5/2558","13.1174","10.5879","14.4646","13.1180","10.1010","17.7356","113.2306","43.3305","44.2732","35.0546","12.5587"
"494","19/5/2558","13.1180","10.5884","14.4662","13.1072","10.1010","17.9255","113.4737","43.4272","44.4140","35.4180","12.5608"
"595","20/5/2558","13.1185","10.5890","14.4677","13.1409","10.1010","17.8589","113.0758","43.2412","44.4269","35.2092","12.5765"
"645","21/5/2558","13.1190","10.5896","14.4751","13.1962","10.1010","17.9441","113.4760","43.4326","44.5093","35.4278","12.5660"
"694","22/5/2558","13.1195","10.5901","14.4801","13.1484","10.1010","17.8994","113.5235","43.4724","44.5160","35.3339","12.5826"
"838","25/5/2558","13.1211","10.5915","14.4831","13.1759","10.1010","17.7002","112.3687","43.0364","44.1172","34.9423","12.6160"
"890","26/5/2558","13.1216","10.5919","14.4872","13.2000","10.1010","17.5739","111.6379","42.7912","43.7699","34.7155","12.6160"
"944","27/5/2558","13.1221","10.5927","14.4891","13.1924","10.1010","17.6160","111.9240","42.8997","43.8634","34.7494","12.4786"
"993","28/5/2558","13.1226","10.5931","14.4902","13.2034","10.1010","17.5325","111.1777","42.6058","43.7291","34.6160","12.5445"
"1039","29/5/2558","13.1231","10.5935","14.4934","13.1831","10.1010","17.5805","111.1619","42.5926","43.8397","34.5699","12.3577"
"547","2/6/2558","13.1251","10.5953","14.4958","13.1389","10.1010","17.3551","109.9301","42.1020","43.5143","34.1125","12.3577"
"1094","3/6/2558","13.1256","10.5957","14.4896","13.0994","10.1010","17.4184","110.6654","42.3764","43.6317","34.2011","12.3796"
"1214","4/6/2558","13.1261","10.5960","14.4746","13.0530","10.1010","17.5378","111.3449","42.6538","44.0194","34.3994","12.3797"
"1259","5/6/2558","13.1266","10.5964","14.4767","13.0280","10.1010","17.7342","112.3282","43.0616","44.3790","34.8483","12.2285"
"1403","8/6/2558","13.1280","10.5976","14.4767","13.0370","10.1010","17.7315","112.0863","42.9720","44.3028","34.7919","12.1875"
"1457","9/6/2558","13.1285","10.5981","14.4849","12.9742","10.1010","17.5362","111.0209","42.5169","44.0767","34.3875","12.1015"
"68","10/6/2558","13.1290","10.5985","14.4842","13.0028","10.1010","17.6793","111.8924","42.8556","44.2934","34.7632","12.1471"
"117","11/6/2558","13.1294","10.5989","14.4862","12.9794","10.1010","17.8142","113.2494","43.3664","44.8186","34.9975","12.2857"
"166","12/6/2558","13.1299","10.5993","14.4900","13.0094","10.1010","17.7202","112.6584","43.1477","44.6861","34.7555","12.2869"
"296","15/6/2558","13.1313","10.6005","14.4922","13.0009","10.1010","17.6303","112.3423","43.0217","44.5622","34.6123","12.1681"
"347","16/6/2558","13.1318","10.6009","14.4965","12.9545","10.1010","17.6553","111.8183","42.8310","44.2810","34.6769","12.0910"
"398","17/6/2558","13.1323","10.6013","14.4986","12.9656","10.1010","17.7981","112.1153","42.9653","44.2399","35.0176","12.1855"
"449","18/6/2558","13.1327","10.6018","14.4994","12.9902","10.1010","17.7051","111.9476","42.8764","44.2825","34.8781","12.1941"
"499","19/6/2558","13.1332","10.6021","14.5032","13.0007","10.1010","17.4971","110.4939","42.3443","43.6959","34.3889","12.2844"
"697","22/6/2558","13.1346","10.6033","14.5044","12.9714","10.1010","17.6573","111.2032","42.6306","43.8782","34.7345","12.2684"
"744","23/6/2558","13.1351","10.6037","14.4989","13.0454","10.1010","17.6525","111.1268","42.5957","43.8863","34.6997","12.3980"
"793","24/6/2558","13.1356","10.6041","14.5017","13.1313","10.1010","17.8392","111.7968","42.8637","43.9300","35.1154","12.3980"
"844","25/6/2558","13.1360","10.6044","14.5014","13.0745","10.1010","17.8475","111.8306","42.8774","43.9504","35.1985","12.3194"
"895","26/6/2558","13.1365","10.6048","14.5015","13.0614","10.1010","17.8324","111.7149","42.8487","43.9836","35.1423","12.2521"
"1041","29/6/2558","13.1379","10.6060","14.5040","13.0435","10.1010","17.7601","111.2997","42.6854","43.8488","35.0328","12.1068"
"1140","30/6/2558","13.1383","10.6063","14.5049","12.9117","10.1010","17.6687","110.5970","42.3691","43.6922","34.8559","12.0572"
"552","2/7/2558","13.1392","10.6071","14.5054","12.9577","10.1010","17.5107","109.4270","41.8987","43.4233","34.5033","12.0387"
"1098","3/7/2558","13.1397","10.6076","14.5082","13.0360","10.1010","17.4976","109.2765","41.8440","43.2843","34.4612","12.0346"
"1309","6/7/2558","13.1410","10.6088","14.5114","13.0083","10.1010","17.3009","108.5037","41.5318","43.1115","34.1131","11.8984"
"1358","7/7/2558","13.1414","10.6092","14.5143","12.9770","10.1010","17.4197","109.2097","41.8291","43.3411","34.3443","11.9034"
"1409","8/7/2558","13.1419","10.6096","14.5181","12.9603","10.1010","17.2607","108.5150","41.5060","43.2492","33.9494","11.8686"
"1462","9/7/2558","13.1423","10.6100","14.5230","12.8383","10.1010","17.2907","108.5810","41.5436","43.2459","34.0354","11.7967"
"72","10/7/2558","13.1428","10.6105","14.5259","12.9326","10.1010","17.4352","109.3765","41.8838","43.4603","34.3829","11.9205"
"211","13/7/2558","13.1441","10.6116","14.5294","12.9957","10.1010","17.5058","110.1758","42.1971","43.8054","34.4331","12.0411"
"256","14/7/2558","13.1446","10.6121","14.5309","13.0942","10.1010","17.4693","110.1012","42.1500","43.9509","34.3307","12.1054"
"302","15/7/2558","13.1450","10.6125","14.5342","13.0711","10.1010","17.4511","109.5839","41.9754","43.6397","34.3254","12.1701"
"352","16/7/2558","13.1455","10.6132","14.5377","13.0732","10.1010","17.3821","109.2227","41.8416","43.4310","34.2748","12.2248"
"402","17/7/2558","13.1463","10.6136","14.5352","13.1213","10.1010","17.3609","109.2915","41.8589","43.4155","34.2244","12.2410"
"601","20/7/2558","13.1476","10.6148","14.5361","13.0975","10.1010","17.2156","108.2343","41.4758","42.9620","33.9505","12.2939"
"652","21/7/2558","13.1480","10.6152","14.5366","13.1018","10.1010","16.9938","107.1317","41.0471","42.4921","33.5799","12.2909"
"702","22/7/2558","13.1485","10.6156","14.5379","13.0837","10.1010","16.9996","107.3023","41.1025","42.6126","33.5507","12.2598"
"749","23/7/2558","13.1488","10.6159","14.5342","13.0717","10.1010","16.9500","106.7859","40.8919","42.5016","33.3772","12.2303"
"797","24/7/2558","13.1494","10.6163","14.5338","12.9732","10.1010","16.8729","106.3931","40.7176","42.4438","33.1599","12.2533"
"951","27/7/2558","13.1507","10.6174","14.5339","12.9349","10.1010","16.5614","104.8746","40.1234","41.9113","32.6244","12.0814"
"1000","28/7/2558","13.1512","10.6177","14.5359","12.8529","10.1010","16.5101","104.5904","40.0297","41.6495","32.6391","12.0197"
"1047","29/7/2558","13.1516","10.6181","14.5365","12.9069","10.1010","16.6135","105.0776","40.1930","41.8337","32.9163","12.1557"
"1172","31/7/2558","13.1525","10.6189","14.5362","12.9676","10.1010","16.8789","106.4397","40.7303","42.2022","33.5729","12.3481"
"1101","3/8/2558","13.1537","10.6200","14.5395","12.9645","10.1010","16.8903","106.3756","40.7050","42.2179","33.4654","12.2777"
"1222","4/8/2558","13.1542","10.6204","14.5440","12.9042","10.1010","16.7763","105.7205","40.4522","42.0139","33.1554","12.2180"
"1268","5/8/2558","13.1546","10.6208","14.5388","12.9228","10.1010","16.8370","105.7390","40.4529","41.9547","33.2493","12.2547"
"1315","6/8/2558","13.1550","10.6212","14.5388","12.8911","10.1010","16.7645","105.5295","40.3486","41.9265","33.0179","12.2455"
"1363","7/8/2558","13.1555","10.6216","14.5412","12.8564","10.1010","16.7450","104.9760","40.1323","41.8209","32.9047","12.2364"
"74","10/8/2558","13.1567","10.6226","14.5411","12.8308","10.1010","16.6542","104.6059","40.0143","41.7454","32.6849","12.1494"
